pubbl,tipo,imprese,cig,cup,piva,materia
1160,Determinazione,,BC2245DB2D,D31E25000340004,,rifiuti
1159,Determinazione,,,D31E25000340004,,rifiuti
1158,Ordinanza,,,,,altro
1157,Ordinanza,,,,,altro
1156,Delibera G.c.,,,,,contenzioso
1155,Delibera G.c.,Assegnazione spa,,,,elezioni
1154,Determinazione,di Gerace. Approvazione e liquidazione Fattura di Giovinazzo S.R.L,,,,veicoli
1153,Avviso Pubblico,,,,,altro
1152,Determinazione,,B744D2444F,,,contenzioso
1151,Determinazione,,BC8029BBAE,,,eventi
1150,Determinazione,,,,,veicoli
1149,Determinazione,,BCC32ABD55,,,eventi
1148,Determinazione,,,,,elezioni
1147,Determinazione,,,,,eventi
1146,Avviso Pubblico,,,,,elezioni
1145,Avviso Pubblico,,,,,altro
1144,Ordinanza,,,,,altro
1142,Determinazione,RIQUALIFICAZIONE SPA,BA6C8E378C,D35J22000010006,,PNRR
1141,Determinazione,,BC662DB539,D35J22000010006,02330900800,PNRR
1140,Determinazione,,B850ACF972,D35E25000030006,,PNRR
1139,Determinazione,all'Impresa EUROWORK,7448528FBD,D34H15002130002,,cantieri/lavori
1138,Determinazione,,B1AC707436,D35J22000010006,,PNRR
1137,Determinazione,,,D35J22000010006,,PNRR
1136,Determinazione,Riqualificazione spa,BC7A170C2E,D35J22000010006,,PNRR
1133,Delibera G.c.,Individuazione e delimitazione spa,,,,elezioni
1132,Delibera G.c.,,,,,veicoli
1131,Delibera G.c.,,,,,altro
1130,Manifesto,,,,,altro
1129,Determinazione,,BA46EBCE1C,D35J22000010006,,PNRR
1128,Determinazione,,BC84FB18B2,D35J22000010006,,PNRR
1127,Determinazione,,B267A66FF4,D35J22000010006,,PNRR
1126,Determinazione,,B8437C9516,D32E25000040002,,cantieri/lavori
1125,Determinazione,C. S.p.A; di concessionarie pubblicitarie del Gruppo GEDI editoriale SPA,BB7BF5140E,D35J22000010006,04705810150,PNRR
1124,Determinazione,,B850ACF972,D35E25000030006,,PNRR
1123,Determinazione,,BCC123EB22,D35J22000010006,01548300803,PNRR
1122,Determinazione,,BCC123C97C,D35J22000010006,,PNRR
1121,Determinazione,,BCC123213E,D35J22000010006,02141010807,PNRR
1120,Determinazione,,BCC122FEC0,D35J22000010006,03064740800,PNRR
1119,Determinazione,TO DI SERVIZI ACCESSORI MEDIANTE LA PREDISPOSIZIONE DI NUOVI SPA,B6300EFEA7,D35E24000180006,,PNRR
1118,Determinazione,,FIGLIO,D33C22000060006,,PNRR
1117,Determinazione,,,,,altro
1116,Determinazione,,,E99J21007460005,,PNRR
1115,Determinazione,,BB763F607F,,,contenzioso
1114,Determinazione,,,,,altro
1113,Avviso Pubblico,,,,,altro
1112,Determinazione,TO DI SERVIZI ACCESSORI MEDIANTE LA PREDISPOSIZIONE DI NUOVI SPA,BCC0DC6B13,D35E24000180006,,PNRR
1111,Determinazione,Adeguamento spa,A000E35A29,D35J22000010006,,PNRR
1110,Determinazione,,,,,veicoli
1109,Determinazione,,,,,altro
1108,Determinazione,,,E37F24000060007,,altro
